Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
In the City of Rome	Literacy Tree	F	Yellow	Tales	2	18	18	169	
In the Clouds	Literacy Tree Rigby	F	Light Blue	69	7	28	28		
In the Days of Dinosaurs A Troop of Little Dinosaurs	Rigby	F	Red	50	2	20	20	476	
In the Days of Dinosaurs The Dinosaur Chase	Rigby	F	Red	2	2	16	16		
In the Days of Dinosaurs The Triceratops & the Crocodiles	Rigby	F	Red	2	1	16	16		
In the Days of the Dinosaurs Gorgo Meets Her Match	Rigby	F	Red	50	11	20	20	453	
In the Days of the Dinosaurs Little Dinosaur Escapes	Rigby	F	Red	50	3	18	20	389	
In the Days of the Dinosaurs Lost in the Forest	Rigby	F	Red	2	2	16	17	298	
In the Days of the Dinosaurs Pterosaur's Long Flight	Rigby	F	Red	2	3	16	16	301	
In the Days of the Dinosaurs The Careful Crocodile	Rigby	F	Red	2	4	16	17	271	
In the Days of the Dinosaurs The Nesting Place	Rigby PM	F	Red	50	11	20	20	250	
In the Days of the Dinosaurs The Triceratops and the Crocodiles	Rigby	F	Red	2	6	16	16		
In the Days of the Dinosaurs When the Volcano Erupted	Rigby	F	Red	50	2	18	20	263	
In the Days of the Dinosaurs Zala Runs for Her Life	Rigby PM Collection	F	Red	50	9	20	20	250	
In the Garden	Rigby PM Plus	F	Dark Blue	3	10	1	1	32	
In the Garden	Rigby	F	Dark Blue	82	33	4	4	90	
In the Park	Rigby Literacy Tree	F	Green	52	3	10	10	96	
In the Park	Literacy 2000	F	Orange						
In the Sand	Literacy Tree	F	Dark Blue	24	11	2	2	39	
In the shopping cart	Rigby	F	Dark Blue	6	8	1	1	24	
In the Supermarket	Rigby	F	Dark Blue	7	9	1	1	24	
In the Woods	Dominie Press	F	Orange	nm2	4				
In The Woods	Seedling Publication	F	Orange						
In the Year of the Boar and Jackie Robinson	Lord	F	Lime	8	1	40	40		
In Times Long Ago	CTP	F	Green	32	4	7	8	196	
In Went Goldilocks	Literacy Tree	F	Dark Blue	69	21	3	4	30	
In your Dreams	Rigby	F	Light Blue	3	11	29	30		
Incident at Hawk's Hill	Bantam	F	Purple	49	2				
Indian Ghost Mystery	Perfection Learning	F	Lime	67	15	40	40		
Into The Dream	Scholastic	F	Purple	46	3				
Invincible Louisa	Scholastic	F	Neon Red	15	10				
Invisible Inc #1. -The Schoolyard Mystery	Scholastic	F	Yellow	66	3	23	24	250	
Invisible Inc. #3 The Snack Attack Mystery	Scholastic	F	Yellow	131	3				
Invisible Inc. #4 The Creepy Computer Mystery	Scholastic	F	Yellow	118	5	28	28		
Invisible Inc. #6 Parents' Night Fright	Scholastic	F	Yellow	131	5				
Island of the Blue Dolphin	Dell	F	Purple	12	20				
It came through the Wall	Mondo	F	Light Blue	69	12	38	38	1182	
It Didn't Frighten Me	Bookshop	F	Green	51	1				
It is raining	Rigby PM	F	Green						
It's Noisy at Night	Wright Group	F	Green	38	3	8	8	1	
It's Only Goodbye	Puffin	F	Purple	no bx	26				
I've Got A Secret	Wright Group	F	Green		1				
Jack and Billy	Rigby	F	Dark Blue	61	1	3	3	50	
Jack and Billy and Rose	Rigby PM	F	Orange	3	1	11	11		
Jack and the Beanstalk	Literacy 2000	F	Orange	tales	2	15	16		
Jack-o-lantern	Twig Books	F	Dark Blue	48	4	2	2		
Jack's birthday	Rigby PM Plus	F	Dark Blue	79	1	4	4	89	
Jack's Seed	Books for Budding Readers	F	Orange						
Jacob Have I Loved	Scholastic	F	Lime	47	2				
Jamaica's Find	Scholastic	F	Yellow	29	9	21	22	250	
James and the Giant Peach	Puffin	F	Purple	6	8				
James is Hiding	Windmill Books	F	Dark Blue	11	2	1	1	24	
Jane's car	Rigby PM	F	Green	50	1	10	10	121	
Jelly Beans Morning Dance	Shortland Publications	F	Red	18	1	17	17		
Jelly Beans The Adventure of a Kite	Shortland Publications	F	Red	18	1	17	17		
Jelly Beans The Plants of my Aunt	Shortland Publications	F	Red	18	1	17	17		
Jelly Beans- Tinny Tiny Tinker	Shortland Publications	F	Red	49	1	20	20		
Jelly Belly	Dell	F	Purple	55	6				
Jellybeans	Benchmark Education	F	Red	27	1	18	18		
Jellybeans Series The Magicians's Lunch	Shortland Publication	F	Orange	47	1	15	15		
Jennifer, Hecate, Macbeth, William McKinley, and Me, Elizabeth	Konigsburg	F	Lime	17	5	40	40		
Jigsaw Jones Mystery The Case of Hermie the Missing Hamster	Scholastic	F	Light Blue	1	1	30	34		
Jigsaw Jones Mystery The Case of the Snowboarding Superstar	Scholastic	F	Yellow	107	2	28	28		
Jigsaw Jones Mystery The Case of the Spooky Sleepover	Scholastic	F	Yellow	107	2	28	28		
Jigsaw Jones Mystery The Case of the Stolen Baseball Cards	Scholastic	F	Light Blue	1	6	30	34		
Jim Ugly	Dell	F	Lime	10	2				
Jimmy's Boa Bounces Back	Pied Piper Book	F	Yellow	131	6	28	28		
Jim's Trumpet	Sunshine	F	Red	35	3	18	18		
Jip, His Story	Puffin	F	Purple	56	14				
Joe Makes A House	Rigby	F	Green	67	3	10	10		
Joey	Rigby PM Collection	F	Orange		2	14	14		
John, the Bookworn	Wright Group	F	Dark Blue	77	6				
Johnny Tremain	Dell	F 	Purple	28	1				
Joker	Perfection Learning	F	Lime	37	3	40	40		
Jolly Roger and the treasure	Rigby	F	Green	30	1	7	7		
Jolly Roger, the pirate	Rigby PM	F	Green	8a	28	5	6	138	
Jonathan Buys a Present	Rigby	F	Red	21	2	18	18	353	
Jordan and the Northside Reps	Rigby PM Collection	F	Light Blue	70	11	34	34	947	
Jordan at the Big Game	Rigby	F	Red	4	6	16	16		
Jordan's Catch	Rigby PM Collection	F	Red	57	4	20	20	250	
Jordan's Lucky Day	Rigby PM Collection	F	Red	30	1	18	18	250	
Jordan's soccer ball	Rigby	F	Orange	17	4	12	12		
Joshua James Likes Trucks	Children's Press	F	Dark Blue		1	3	4	50	
Journey		F	Lime	11	3				
Journey to America	Levitin	F	Lime	19	1	44	44		
Journey to Antartica	Rigby	F	Light Blue	7					
Journey to Joburg	Harper Trophy	F	Purple	58	5				
Joyful Noise	Fleishman	F	Light Blue	10	4				
Julie of the Wolves	George	F	Lime	33	4	44	44		
Julie of the Wolves	Trumpet	F	Purple	59	6				
Jumbo	Rigby	F	Dark Blue	37	2				
Jumbo	Rigby	F	Green	41	10	8	8	133	
Jump into Bed	Literacy Tree	F	Dark Blue	57	17	3	4	51	
Jump Ship to Freedom	Dell	F	Purple	54	2				
Jumper	Literacy Tree	F	Green	38A	10	8	8		
Junie B. Jones Has a Peep in Her Pocket	Park	F	Yellow	107		28	30	250	
Junie B. Jones is Captain Field Day	Park	F	Yellow	107	1	28	30	250	
Junie B. Jones Smells Something Fishy	Scholastic	F	Yellow	107	1	28	30	250	
Just for Fun	Literacy 2000	F	Yellow	4	2	18	20	250	
Just Joking	Dominie Collection	F	Yellow	70	1	24	24		
Just Like Grandpa	Literacy 2000	F	Green	31	35	7	8	81	
Just Like Me!	Wright	F	Green		4				
Just Like Me!	Children's Press	F	Green	36	4	7	8	138	
Just My Luck	Literacy 2000	F	Orange	11	4	12	12	136	
Just Plain Cat	Scholastic	F	Lime	3	3	40	40		
Just This Once	Sunshine Books	F	Orange						
Katie Did It	Children's Press	F	Green	35	10	7	8		
Katie's butterfly	Rigby	F	Orange	45A	2	14	14		
Katie's Caterpillar	Rigby	F	Green	37	3	8	8		
Keep the Lights Burning, Abbie	Houghton-Mifflin	F	Yellow	29	6	21	22	250	
Kerry 	Rigby PM Collection	F	Light Blue	70	8	30	30	875	
Kerry's Double	Rigby PM Collection	F	Light Blue	70	8	30	30	843	
Kidnap at the Catfish Café	Giff	F	Light Blue	46	5				
Kids Change	Book Treks	F	Lime	41	2	40	40		
Kids In Charge	Orbit	F	Lime	41	2				
Kids in Charge	Book Treks	F	Light Blue	12	6				
Kids of the Polk Stree School -  Fish Face	Giff	F	Yellow	103	4	28	30	250	
Kids of the Polk Stree School - B-e-s-t Friends	Giff	F	Yellow	65	8	23	24		
Kids of the Polk Stree School - Lazy Lions, Lucky Lambs #7	Giff	F	Yellow	103	9	28	30	250	
Kids of the Polk Street School	Giff	F	Yellow	63	10	23	24	250	
Kids of the Polk Street School - All About Stacy	Giff	F	Yellow	63	5	23	24	250	
Kids of the Polk Street School - Fancy Feet	Giff	F	Yellow	106	13	28	30	250	
Kids of the Polk Street School - In the Dinosaur's Paw	Giff	F	Yellow	107	12	28	30	250	
Kids of the Polk Street School - Pickle Pus	Giff	F	Yellow	62	16	23	24	250	
Kids of the Polk Street School - Purple Climbing Days	Giff	F	Yellow	105	14	28	30	250	
Kids of the Polk Street School - Say Cheese	Giff	F	Yellow	63	14	23	24	250	
Kids of the Polk Street School - Snaggle Doodles	Giff	F	Yellow	104	12	28	30	250	
Kids of the Polk Street School - Spectacular Stone Soup	Giff	F	Yellow	106	7	28	30	250	
Kids of the Polk Street School - Stacy Says Good-bye	Giff	F	Yellow	103	7	28	30	250	
Kids of the Polk Street School - Sunny-side Up	Giff	F	Yellow	104	9	28	30	250	
Kids of the Polk Street School - The Candy Corn Contest	Giff	F	Yellow	64	8	23	24	250	
Kids of the Polk Street School - The Postcard Pest	Giff	F	Yellow	103	1	28	30	250	
Kids of the Polk Street School - The Valentine Star	Giff	F	Yellow	62	12	23	24	250	
Kids of the Polk Street School - Turkey Trouble	Giff	F	Yellow	103	1	28	30	250	
Kids of the Polk Street School - Watch Out! Man-eating Snake	Giff	F	Yellow	64	11	23	24	250	
Kids of the Polk Street School-The Beast in Ms. Rooney's Room	Giff	F	Yellow	105	14	28	28	250	
Kimo and the Secret Wave	Perfection Learning	F	Light Blue	13	2	38	38		
Kindertransport	Scholastic	F	Purple	50	2				
King Arthur and the Square Table		F	Light Blue	48	2				
King Beasts Birthday	Rigby	F	Yellow	59	3	23	24	250	
King Kong and the Flower Fairy	Pulford	F	Light Blue	11	11				
King of the Wind	Henry	F	Lime	11	2	40	40		
Kittens	Literacy Tree	F	Dark Blue	81	21	4	4	22	
Kitty and the birds	Rigby PM	F	Dark Blue	77	23	3	3	64	
Kitty Cat	Rigby	F	Green		1				
Kitty Cat and the fish	Rigby	F	Green	13	1	5	5		
Kitty Cat and the paint 	Rigby	F	Green	45	7	9	9		
Kitty Cat plays inside	Rigby	F	Green	40	3	8	8		
Knit, Knit, Knit	Literacy 2000	F	Red	20	2	18	18		
Koalas	Literacy 2000	F	Green	62	17	6	6	36	
Kodie's Mare	Perfection Learning	F	Light Blue	46	6				
Lady Monster Has a Plan	Troll Associates	F	Yellow	135	2				
Late for soccer	Rigby PM	F	Orange	13	1	12	12	185	
Laughter is the Best Medicine	Rigby	F	Lime	8	2	40	40		
Lazy Mary	Electronic Education	F	Green						
Let Me In	Literacy Tree	F	Dark Blue	84	17	4	4	115	
Let The Circle Be Unbroken	Puffin	F	Neon Red	26	3				
Let's Build a Tower	Rigby	F	Dark Blue	41	13	2	2	15	
Let's Play Basketball	Kaeden Group	F	Green	38	2	8	8		
Letters to Leah	Book Blazers	F	Neon Red	14	12				
Letters to Leah	ETA 	F	Orange	3	6				
Levi Sings	Dominie	F	Dark Blue	9	1	1	1	29	
Levi Sings	Dominie Press	F	Dark Blue	78b	4	3	4	29	
Liar, Liar, Pants on Fire	Cohen	F	Red	sp coll	4	16	17	250	
License Plates	Rigby	F	Red	23	12	18	20	250	
Like Me	Wright Group	F	Dark Blue	97	6	5	5		
Linnie's Letters	Perfection Learning	F	Light Blue	23	8				
Lionel and Amelia	Book Shop	F	Red	54	12	20	20		
Lionel and Amelia	Book Shop	F	Yellow	118	6	28	28		
Little Bear and other Native Am. Tales	Book Treks	F	Lime	Tales	6	40	40		
Little Brother	Sunshine Books	F	Dark Blue	2	1	1	1		
Little Bulldozer	Rigby PM	F	Green	35	3	8	8		
Little Bulldozer helps again	Rigby	F	Green	45	6	9	9	197	
Little Chimp and Baby Chimp	Rigby PM	F	Green	51	4	10	10		
Little Chimp and the bees	Rigby PM	F	Green	48	10	9	9		
Little Chimp and the termites	Rigby PM	F	Orange	28	6	13	13		
Little Chimp runs away	Rigby PM	F	Green	23	6	6	6	104	
Little Duck	Electronic Education	F	Orange						
Little Frog's Monster Story	Ready Readers	F	Orange	45	1				
Little Frog's Monster Story	Modern Curriculm Press	F	Orange	nm1	1				
Little Hawk's New Name	Scholastic	hF	Yellow		2	28	30		
Little Hearts	Wright Group	F	Dark Blue	78b	4	3	4	44	
Little House on the Prairie	Ingalls	F	Lime	14	14	40	40		
Little Miss Muffet	Literacy 2000	F	Green	poetry	4	9	10		
Little Mouse's Trail Tale	Mondo	F	Orange	44	6	14	14		
Little Rabbit's Loose Tooth	Scholastic	F	Light Blue	41	8	34	37		
Little Red Hen	Rigby	F	Orange	26	2	13	14		
Little things	Rigby	F	Dark Blue	6	13	1	1	33	
Little Town on the Praire	Ingalls	F	Lime	20	1	49	49		
Little Women	Scholastic -Alcott	F	Neon Red		1				
Living Here	Rigby	F	Green		2				
Lizard loses his tail	Rigby PM	F	Dark Blue	100	25	4	4	54	
Lizzie's Lunch	Rigby	F	Orange	44A	26	14	14	119	
Locked In	Rigby PM	F	Orange	27	5	13	13		
Locked Out	Rigby	F	Orange	3	3	11	11		
Log Hotel	Scholastic	F	Red	38	3	18	20	261	
Lollipop Please	Literacy 2000	F	Orange	32	1	14	14	73	
Look at me	Rigby	F	Dark Blue	43	13	2	2	48	
Look at Pickles	Pioneer Valley	F	Dark Blue	16	6	1	1	29	
Look at the house	Rigby PM Plus	F	Dark Blue	3	12	1	1	53	
Look in Mom's Purse	Carousel readers	F	Dark Blue	97	1	5	5		
Look in the Garden	Rigby	F	Orange	24	6	12	12		
Look out for Bingo	Rigby	F	Green	37	4	8	8		
Look Out for Your Tail	Literacy Tree	F	Red	31	4	18	18		
Look Out!	Rigby	F	Orange	47	5	15	15		
Look Out! Ducks Crossing	Literacy Tree	F	Dark Blue	28	24	2	2	15	
Look Out! Look Out! Tractor About!	Sundance	F	Red	66	3	18	20		
Looking Down	Rigby	F	Dark Blue	56	35	3	3	70	
Lost	Literacy Tree	F	Dark Blue	84	4	4	4	82	
Lost	Literacy Tree	F	Green	9	34	5	6	82	
Lost	Dominie	F	Yellow	23	2	22	22	898	
Lost at the Fun Park	Rigby PM	F	Green	65	2	10	10	192	
Lost in the Museum	Dell Young Yearling	F	Red	6	4	16	17	250	
Lost in the Woods	Literacy Footprints	F	Green	30	3	7	7		
Lost socks	Rigby PM	F	Green	62	1	10	10		
Lost!	Rigby	F	Dark Blue	54	8	3	3	18	
Lots of Dogs	Dominie Press	F	Dark Blue	78a	7	3	4	68	
Lucky goes to dog school	Rigby PM	F	Green	29	27	6	7	127	
Lucy's Sore Knee	Windmill Books	F	Green		4				
Lunch	Kaeden Group	F	Green	52	4	10	10	156	
Lunch Time	Carousel readers	F	Dark Blue	80	1	4	4		
Lunchtime	Literacy Tree	F	Green	18	23	5	6	102	
M.C. Higgins The Great	Scholastic	F	Neon Red	30	12				
Machines at Work	Sundance	F	Orange	2	5	4	4		
Machines at Work	Sundance	F	Orange						
Mack's Big Day	Rigby	F	Red	48	2	20	20		
Mae-Nerd	Dominie Press	F	Dark Blue	78c	6	1	2	44	
Maggie Marmelstein for President	Sharmat	F	Lime	12	4				
Magic Food	Rigby	F	Dark Blue	79	8	3	4	26	
Magic Tree House - Afternoon on the Amazon #6	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House - Buffalo Before Breakfast #18	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House - Civil War on Sunday #21	Scholastic	F	Yellow	bk wall	9	24	28		
Magic Tree House - Day of the Dragon King #14	Scholastic	F	Yellow	102	2	28	28		
Magic Tree House - High Tide in Hawaii #28	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House - Hour of the Olympics #16	Scholastic	F	Yellow	102	2	28	28		
Magic Tree House - Polar Bears Past Bedtime #12	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House - Tonight on the Titanic #17	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House - Vacation Under the Volcano #13	Scholastic	F	Yellow	102	3	28	28		
Magic Tree House - Viking Ships #15	Scholastic	F	Yellow	102	2	28	28		
Magic Tree House #10 Ghost Town at Sundown	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House #23 Twister on Tuesday	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House #7 Sunset of the Sabertooth	Scholastic	F	Yellow	102	1	28	28		
Magic Tree House Dolphins at Daybreak	Scholastic	F	Light Blue	24	2				
Magic Tree House Midnight on the Moon	Scholastic	F	Light Blue	23	2				
Magic Tree House Mummies in the Morning	Scholastic	F	Yellow	102	6	30	34		
Magpie's baking day	Rigby PM	F	Green	45	5	9	9		
Mai-Li's Surprise	Jackson	F	Orange	44	6	12	14		
Making a Birdhouse	Houghton Mifflin	F	Orange		2				
Making a caterpillar	Rigby PM	F	Green						
Making Friends on Beacon Street	Literacy Tree	F	Yellow	108	3	28	30	250	
Making Party Food	Rigby	F	Orange	37	21	14	14		
Mandy	Harper Trophy	F	Purple	24	2				
Maniac Magee	Scholastic	F	Purple	49	2				
Marc Brown's Arthur Babysits	Brown	F	Yellow	21	1	21	22		
Marcella	Literacy Tree	F	Yellow	108	1	28	28		
Mario's Mayan Journey	Mondo	F	Light Blue	Tales	9	38	38	1021	
Marty Frye, Private Eye	Scholastic	F	Light Blue	43	6				
Marvin Redpost: Why Pick on Me?	Random House	F	Yellow	107	1	28	28		
Mary Had a Little Lamb	Waterford	F	Orange						
Mary Moon is Missing	Scholastic	F	Light Blue	19	2	38	38		
Mary Poppins	Scholastic	F	Purple	2	11				
Matilda	Puffin	F	Purple	8	7				
Matt Christopher - Baseball Flyhawk	Christopher	F	Yellow	119	1	28	28		
Matt Christopher Series - Johnny Long Legs	Christoper	F	Yellow	119	3	28	28		
Matt Christopher Series - Johnny Long Legs	Christopher	F	Yellow	119	1	28	28		
Matt Christopher Series - Return of the Home Run Kid	Christopher	F	Light Blue	14	1	30	34		
Matt Christopher Series - Run Billy Run	Christopher	F	Lime	1	1	40	40		
Matt Christopher Series - Shortshop from Tokoyo	Christoper	F	Yellow	119	3	28	28		
Matt Christopher Series - The Counterfeit Tackle	Christopher	F	Yellow	119	1	28	28		
Matt Christopher Series - The Great Quarterback Switch	Christoper	F	Yellow	119	1	28	28		
Matt Christopher Series - The Submarine Pitch	Christopher	F	Light Blue	14	1	38	38		
Matt Christopher Series - The Year Mom Won the Pennant	Christoper	F	Yellow	119	1	28	28		
Matt Christopher Series- Baseball Pals	Christopher	F	Light Blue	16	3				
Matt Christopher Series- Catcher with a Glass Arm	Christopher	F	Light Blue	16	5				
Matt Christopher Series- Challenge at Second Base	Christopher	F	Light Blue	16					
Matt Christopher Series- Dirt Bike Racer	Christopher	F	Light Blue	14	5				
Matt Christopher Series- Face-off	Christopher	F	Light Blue	16					
Matt Christopher Series- Football Fugitive	Christopher	F	Light Blue	16					
Matt Christopher Series- Ice Magic	Christopher	F	Light Blue	16					
Matt Christopher Series- Little Lefty	Christopher	F	Light Blue	16	5				
Matt Christopher Series- Long Shot for Paul	Christopher	F	Light Blue	16	3				
Matt Christopher Series- Long Stretch at First Base	Christopher	F	Light Blue	16					
Matt Christopher Series- Look Who's Playing First Base	Christopher	F	Light Blue	15	5				
Matt Christopher Series- Miracle at the Plate	Christopher	F	Light Blue	16					
Matt Christopher Series- No Arm in Left Field	Christopher	F	Light Blue	16	4				
Matt Christopher Series- Olympic Dream	Christopher	F	Light Blue	16					
Matt Christopher Series- The Diamond Champs	Christopher	F	Light Blue	14	4				
Matt Christopher Series- The Fox Steals Home	Christopher	F	Light Blue	14	3				
Matt Christopher Series- The Hockey Machine	Christopher	F	Light Blue	15	3				
Matt Christopher Series- The Kid Who Only Hit Homers	Christopher	F	Light Blue	14	4				
Matt Christopher Series- Too Hot to Handle	Christopher	F	Light Blue	16					
Matt Christopher Series- Tough to Tackle	Christopher	F	Light Blue	16					
Matt Christopher Series- Undercover Tailback	Christopher	F	Light Blue	14					
Maurice' Room	Aladdin	F	Neon Red	1	1				
Maurice's Room	Fox	F	Light Blue	75	4	34	37		
Max and Jake	Rigby	F	Orange	24	6	12	12		
Max and Maggie in Autumn	Troll Associates	F	Red	nm3	1				
Max and the Birdhouse	Rigby	F	Orange	4	1	11	11		
Max and the little plant	Rigby	F	Green	39A	4	8	8		
Max goes fishing	Rigby	F	Green	39A	1	8	8		
Max rides his bike	Rigby	F	Green	37	1	8	8		
Max The Little Plant	Rigby	F	Green	39A	4				
Max's Pet -Book 26	scholastic	F	Dark Blue	77	4				
May and the Birdhouse	Rigby	F	Orange		2				
Maybe I'll Be	Carousel readers	F	Dark Blue	97	1	5	5		
McBungle Down Under	Rigby	F	Red	11	6	16	17		
McGinty's Friend	Rigby	F	Red	58	4	20	20		
Me	Rigby PM Collection	F	Dark Blue	9	8	1	1	24	
Me	Houghton Mifflin	F	Orange	nm1	6				
Me	Houghton Mifflin	F	Orange		7				
Me and My Little Brain	Dell	F	Purple	29	6				
Measure Time	Rigby	F	Dark Blue	33	1	2	2		
Meeka	Sprout	F	Green	7	13	5	5	42	
Meet Felicity	Pleasant Company	F	Purple	40	1	40	40		
Meet the Lincoln Lions Band	Giff	F	Red	49	1	18	20		
Merry-Go-Round	Dominie Press	F	Dark Blue	78c	6	3	4	66	
Merry-Go-Round	Scholastic	F	Lime	8	1	40	40		
Midnight Magic	Scholastic	F	Purple	4	8				
Midnight Rescue	Literacy Tree	F	Light Blue	45	7				
Mike Mulligan and His Steam Shovel	Houghton-Mifflin	F	Light Blue	8	7	30	34		
Milking	Wright Group		Green	52	6	10	10	67	
Millie's Adventure	ETA Cuisenaire	F	Red	61	4	20	20		
Ming Lo Moves the Mountain	Scholastic	F		38	2	18	20		
Miracles on Maple Hill	Scholastic - Sorensen	F	Lime	40	5	40	40		
Miracles on Maple Hill	Scholastic	F	Neon Red	21	5				
Mirror, Mirror	Book Treks	F	Purple	23	6				
Misha Disappears	Literacy Tree	F	Red	56	1	20	20	250	
Miss Geneva's Lantern	Mondo	F	Yellow	69	1	23	24		
Miss Nelson Has A Field Day	Scholastic	F	Yellow	44	8	23	24	250	
Miss Nelson is Missing	Marshall-Houghton-Mifflin	F	Light Blue	74	11	28	28		
Miss Nelson is Missing	Scholastic	F	Yellow	44	2	23	24	598	
Miss Popples Pets	Literacy Tree	F	Dark Blue	14	21	1	1	28	
Miss Rumphius	Puffin	F	Yellow	131	5	28	28		
Missing May	Dell	F	Neon Red	25	2				
Mississippi Bridge	Taylor	F	Lime	35	2	40	40		
Misty of Chincoteague	Henry	F	Lime	45	15	40	40		
Mitch to the Rescue	Rigby PM Collection	F	Red	11	5	16	16		
Molly's Pilgrim	Bantam-Cohen	F	Yellow	99	1	28	28		
Mom	Rigby PM Collection	F	Dark Blue	9	13	1	1	24	
Mom, You're Fired	Scholastic	F	Lime	39	3				
Moms and Dads	Rigby	F	Dark Blue	9	12	1	1	36	
Monkey and Fire	Literacy Tree	F	Red	24	2	18	20	250	
Monkey on the Roof	Rigby PM Plus	F	Green	2	3	5	5	92	
Monkey Tricks	Rigby	F	Red	43	1	18	20	328	
Monkey's Friends	Literacy Tree	F	Dark Blue	51	11	3	3	36	
Monsieur Armand	Book Blazers	F	Lime	48	12				
Monster	Literacy 2000	F	Dark Blue	90	3	4	4		
Monster and the Lady Monster and the Bike Riders	Troll Associates	F	Yellow	135	2				
Monster and the Surprise Cookie	Troll Associates	F	Yellow	135	2				
Monster and the Toy Sale	Troll Associates	F	Yellow	135	1				
Monster cleans the House	Troll Associates	F	Yellow	135	6				
Monster for Hire	Mondo	F	Light Blue	67	9				
Monster Goes Around the Town	Troll Associates	F	Yellow	135	2				
Monster goes to the Beach	Troll Associates	F	Yellow	135	1				
Monster goes to the Circus	Troll Associates	F	Yellow	135	2				
Monster in  Room 202	Troll Associates	F	Yellow	135	2				
Monsters Always Welcome	ETA Scooters	F	Yellow	72	8	24	24		
Monsters Don't Scuba Dive	Dadey/Jones	F	Light Blue	25					
Monsters in My Mailbox	Troll Associates	F	Yellow	135	6				
Monty, the Missing Cat	Pioneer Valley Press	F	Green	38	2	8	8	100	
Moppet on the Run	Rigby PM	F	Red	64	1	20	20	250	
More Spaghetti	Rigby	F	Red	3	1	16	16	315	
Morning Star	Literacy 2000	F	Red	31	3	18	18	250	
Mother of Invention	Perfection Learning	F	Lime	30	9	40	40		
Mother Tiger and her cubs	Rigby	F	Orange	3	7	11	11		
Mother's Day	Rigby	F	Green	31	3	7	7		
Mountain Born	Yates	F	Purple	54	1	50	50		
Mouse Manual	Rigby Sails	F	Yellow	108	4	28	28		
Mouse Soup	Lobel	F	Red	22	4	18	20	1320	
Move it	Wright Group	F	Dark Blue	80	9	4	4	58	
Moving Day	Rigby	F	Green	41	6	9	9		
Mr. Lee's Worm Farm	ETA	F	Yellow	117	8	28	28		
Mr. McGrah's New Car	Wright Group	F	Orange	44	4	14	14		
Mr. Merton's Vacation	Rigby	F	Red	64	4	20	20		
Mr. Pepperpot's Pet	Literacy Tree	F	Red	47	2	20	20		
Mr. Popper's Penuins	Dell	F	Purple	16	15				
Mr. Putter and Tabby Bake a Cake	Rylant	F	Red	33	5	18	20	250	
Mr. Putter and Tabby Fly the Plane	Rylant	F	Red	33	6	18	20	250	
Mr. Putter and Tabby Pour the Tea	Rylant	F	Red	33	4	18	20		
Mr. Putter and Tabby Row the Boat	Rylant	F	Red	33	5	18	20	250	
Mr. Putter and Tabby Walk the Dog	Rylant	F	Red	33	1	18	20		
Mr. Tucker	Paulsen	F	Purple		1				
Mr. Wolf Leaves Town	Alpha Kids	F	Green	28a	6	7	7	218	
Mr. Wolf Tries Again	Alpha Kids	F	Green	52	6	9	9	218	
Mrs. Cook's Hats	Kaeden Group	F	Dark Blue	92	5	4	4	31	
Mrs. Fish, Ape, and Me, The Dump Queen	Avon	F	Neon Red	17	5				
Mrs. Grindy's Shoes	Sunshine Books	F	Orange		3				
Mrs. Grindy's Shoes	Wright Group	F	Orange		2				
Mrs. Spider's beautiful web	Rigby	F	Orange	25	3	13	13		
Mrs. Wishy-washy	The Story Box	F	Orange						
Mud Pie	Literacy Tree	F	Dark Blue	69	13	3	4	14	
Muffin is Trapped	Rigby	F	Red	48	10	20	20	471	
Muggie Maggie	Cleary	F	Purple	42	1	50	50		
Mumps	Rigby	F	Green	8	23	5	6	112	
Mushrooms for dinner	Rigby	F	Orange	23	2	12	12	177	
My Accident	Rigby	F	Dark Blue	58	46	3	3	49	
My Alphabet	Zaner-Bloser	F	Dark Blue	8	2	1	1	7	
My Bad Mood	Wright Group	F	Green		4				
My Bike	Learning Media	F	Green	38	1	8	8		
My Box	Rigby	F	Dark Blue	15	2	1	1	30	
My Brother Sam is Dead	Collier	F	Neon Red	6	2	60	70		
My Cat	Ready Readers	F		13	6	5	6	40	
My Circus Family	Book Shop	F	Dark Blue	54	1	3	3		
My Class	Seedling Pub	F	Dark Blue	11	14	1	2		
My Clothes	Rigby	F	Dark Blue	26	5	2	2		
My Dad	Dominie 	F	Green	55	5	9	10	79	
My Dad Cooks	Carousel readers	F	Dark Blue	61	1	3	3		
My Dog	Harcourt Brace	F	Dark Blue	3	2	1	1	28	
My Dream	Oxford	F	Dark Blue	92	6	3	4	34	
My Family & the Wasps	Dominie	F	Red	49	2	20	20		
My Family Tree	Book Blazers	F	Lime	48	12				
My Father's Dragon	Gannett	F	Light Blue	20	8				
My Feet Are Just Right	WrightGroup	F	Red	46	1	18	20		
My Friend Meg	ETA Cuisenaire	F	Lime	22	6	44	50		
My Friend Monster	Rainforest	F	Green		4				
My Friend Monster	Wright Group	F	Green		4				
My Glasses	Dominie Press	F	Dark Blue	13	6	1	1	28	
